trial_number,val_hit_rate,val_macro_f1,val_spearman_rho,val_loss,val_accuracy,epochs,learning_rate,weight_decay,num_filters,kernel_size,num_conv_layers,hidden_dim,dropout
0,1.0,0.043675751222921035,nan,1.8937837615677628,0.09571209800918837,50,0.0001519934830130982,5.415244119402538e-05,32,3,3,128,0.04246782213565523
1,1.0,0.043675751222921035,nan,1.4055662821482005,0.09571209800918837,50,0.0004050837781329676,4.809461967501571e-05,32,5,6,256,0.009290082543999545
2,1.0,0.043675751222921035,nan,1.3912106376329572,0.09571209800918837,50,0.0002049798052095018,0.0012030178871154666,64,3,2,128,0.1325044568707964
3,1.0,0.043675751222921035,nan,1.9011357144593828,0.09571209800918837,50,0.0006741204610702762,0.00026730883107816685,64,5,3,256,0.05426980635477918
4,1.0,0.043675751222921035,nan,2.0020949661640444,0.09571209800918837,50,0.0002282788775990514,2.9072088906598435e-05,32,9,6,256,0.014808930346818072
5,1.0,0.043675751222921035,nan,2.0743465876323706,0.09571209800918837,50,0.0005901564798023387,0.0009444574254983562,16,9,4,256,0.11225543951389926
6,1.0,0.043675751222921035,nan,1.38419532721112,0.09571209800918837,50,0.00019487290213568488,4.414536876494478e-05,16,9,4,128,0.0153959819657586
7,1.0,0.043675751222921035,nan,1.3906758211290673,0.09571209800918837,50,0.0006576801979658926,0.027728241828010616,16,3,6,64,0.08542155772525127
8,1.0,0.043675751222921035,nan,1.387076456185322,0.09571209800918837,50,0.00031423062259089695,0.0001597766235483386,32,9,2,128,0.05035645916507284
9,1.0,0.043675751222921035,nan,1.7733243899177447,0.09571209800918837,50,0.00017283732813150774,0.008182111518618418,64,3,2,64,0.15232392306574352
11,1.0,0.043675751222921035,nan,1.4051048239011312,0.09571209800918837,50,0.0003970929220677449,9.860002811683672e-05,32,5,6,256,0.002084132951574849
12,1.0,0.043675751222921035,nan,1.3905586486205939,0.09571209800918837,50,0.00012085989332389056,0.0006368434173741875,32,5,3,256,0.05309925716984761
13,1.0,0.043675751222921035,nan,1.3854226881658136,0.09571209800918837,50,0.0003899433469838221,1.1781836135035605e-05,32,5,3,128,0.08257281319576956
14,1.0,0.043675751222921035,nan,1.4181338032025839,0.09571209800918837,50,0.0009003644746720466,0.0056613244868244355,32,3,6,64,0.03343954860285592
15,1.0,0.043675751222921035,nan,1.385014370973771,0.09571209800918837,50,0.0002868218636472702,4.521097690358214e-05,32,5,3,128,0.03734391827017221
16,1.0,0.043675751222921035,nan,1.4035156048822914,0.09571209800918837,50,0.0001403779410798709,0.0003132642408656099,32,5,6,256,0.07090502777785396
17,1.0,0.043675751222921035,nan,1.3910110955216435,0.09571209800918837,50,0.00045032143399619136,0.0030557658484817057,32,3,4,256,0.10484057781483136
18,1.0,0.043675751222921035,nan,1.3919229317587696,0.09571209800918837,50,0.00024477620362977693,0.00010524192315628154,16,3,3,128,0.00010778238473982404
19,1.0,0.0007645259938837921,nan,1.384018794135697,0.0015313935681470138,50,0.00016152915939287096,2.6786097411856668e-05,64,5,6,64,0.02870238861641261
